name,link,prize,contestants,forum,replies,best_replies,best_urls,scripts,votes,best_voted
Heritage Health Prize,https://www.heritagehealthprize.com/c/hhp,500000,1353,457,2495,"[68, 66, 51, 48, 48]","[""/c/hhp/forums/t/403/prediction-baseline"", ""/c/hhp/forums/t/394/call-to-boycott-heritage-health-prize"", ""/c/hhp/forums/t/904/milestone-winners-papers-available"", ""/c/hhp/forums/t/397/why-i-won-t-be-participating-team-ensemble-member"", ""/c/hhp/forums/t/607/r-questions""]",,,""
GE Flight Quest,https://www.gequest.com/c/flight,250000,173,157,531,"[40, 29, 23, 21, 20]","[""/c/flight/forums/t/4284/acknowledging-two-more-great-competitors"", ""/c/flight/forums/t/3220/contradiction-in-rules-for-final-model"", ""/c/flight/forums/t/4183/congratulations"", ""/c/flight/forums/t/3413/public-leaderboard-set-release-leaderboard-activation"", ""/c/flight/forums/t/3302/training-set-revision-1-release-sample-test-set""]",,,""
"Flight Quest 2: Flight Optimization, Milestone Phase",https://www.gequest.com/c/flight2-milestone,250000,129,71,369,"[68, 45, 29, 16, 16]","[""/c/flight2-milestone/forums/t/5529/simulator-issues-and-bug-reports"", ""/c/flight2-milestone/forums/t/5324/help-in-understanding-the-problem-please"", ""/c/flight2-milestone/forums/t/5530/simulator-release"", ""/c/flight2-milestone/forums/t/5571/basic-getting-started-tips"", ""/c/flight2-milestone/forums/t/5403/submissions-enabled""]",,,""
"Flight Quest 2: Flight Optimization, Main Phase",https://www.gequest.com/c/flight2-main,220000,121,53,430,"[115, 36, 36, 20, 20]","[""/c/flight2-main/forums/t/6055/simulator-issues-and-bug-reports"", ""/c/flight2-main/forums/t/6549/unavailability-of-rap-files"", ""/c/flight2-main/forums/t/6239/which-files-are-going-to-be-provided"", ""/c/flight2-main/forums/t/6469/model-submission-deadline"", ""/c/flight2-main/forums/t/6846/final-evaluation-phase""]",,,""
"Flight Quest 2: Flight Optimization, Final Phase",https://www.gequest.com/c/flight2-final,220000,33,14,94,"[30, 14, 10, 9, 8]","[""/c/flight2-final/forums/t/7071/crash-in-simulator"", ""/c/flight2-final/forums/t/7075/taf-file-for-test-days"", ""/c/flight2-final/forums/t/7085/amount-of-crashes"", ""/c/flight2-final/forums/t/7117/exceeded-maximum-steps-error-from-flightquest-dll"", ""/c/flight2-final/forums/t/7069/flight-history-file""]",,,""
Second Annual Data Science Bowl,https://www.kaggle.com/c/second-annual-data-science-bowl,200000,192,211,1224,"[213, 120, 37, 25, 25]","[""/c/second-annual-data-science-bowl/forums/t/18079/end-to-end-deep-learning-tutorial-0-0392"", ""/c/second-annual-data-science-bowl/forums/t/18548/keras-deep-learning-tutorial-0-0359"", ""/c/second-annual-data-science-bowl/forums/t/18122/deep-learning-model-in-r"", ""/c/second-annual-data-science-bowl/forums/t/17893/can-i-join-a-team"", ""/c/second-annual-data-science-bowl/forums/t/19148/1st-deadline-model-upload""]",,,""
National Data Science Bowl,https://www.kaggle.com/c/datasciencebowl,175000,1049,154,1114,"[137, 57, 37, 36, 35]","[""/c/datasciencebowl/forums/t/11279/public-start-guide-of-deep-network-with-a-score-of-1-382285"", ""/c/datasciencebowl/forums/t/12824/implementation-for-0-45-score"", ""/c/datasciencebowl/forums/t/12839/curiousity-survey-add-upvote-your-toolkit"", ""/c/datasciencebowl/forums/t/12465/can-you-guys-share-percentage-accuracy-on-validation-data"", ""/c/datasciencebowl/forums/t/11248/interested-in-teaming-up""]",,,""
Diabetic Retinopathy Detection,https://www.kaggle.com/c/diabetic-retinopathy-detection,100000,661,143,765,"[78, 40, 29, 24, 23]","[""/c/diabetic-retinopathy-detection/forums/t/12842/starter-code-for-leaderboard-score-of-0-46"", ""/c/diabetic-retinopathy-detection/forums/t/12542/faster-download-of-dataset"", ""/c/diabetic-retinopathy-detection/forums/t/12545/can-t-unzip-data"", ""/c/diabetic-retinopathy-detection/forums/t/13259/unrecognizable-distinctions-between-stage-0-and-stage-2"", ""/c/diabetic-retinopathy-detection/forums/t/12696/software-for-vessel-centerline-detection""]",42,2,"[0, 2, 0, 0, 0, 0]"
Springleaf Marketing Response,https://www.kaggle.com/c/springleaf-marketing-response,100000,2226,200,1457,"[86, 68, 59, 50, 42]","[""/c/springleaf-marketing-response/forums/t/16853/experiences-from-a-newbie"", ""/c/springleaf-marketing-response/forums/t/15953/i-want-to-buy-a-new-machine"", ""/c/springleaf-marketing-response/forums/t/16490/what-next-how-to-improve-more"", ""/c/springleaf-marketing-response/forums/t/17081/solution-sharing"", ""/c/springleaf-marketing-response/forums/t/16339/xgb-vs-deep-mlp-network""]",1428,336,"[175, 60, 34, 45, 12, 10]"
GE Hospital Quest,https://www.gequest.com/c/hospital,100000,0,39,87,"[6, 6, 6, 5, 5]","[""/c/hospital/forums/t/3223/incomplete-submissions-deleted-or-returned-to-draft-status"", ""/c/hospital/forums/t/3388/adding-screenshots-and-videos-to-my-submission"", ""/c/hospital/forums/t/3422/submission-site-locking-up"", ""/c/hospital/forums/t/3225/as-to-things-that-do-not-exist"", ""/c/hospital/forums/t/3215/scope-clarification""]",,,""
